val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.061445765142087584,58401357.8962963,0.06464603899423678,62177307.930009775
0.05770757684001216,28706240.777777776,0.04939351743806376,41087840.48093842
0.052755745279568216,42587783.11851852,0.048047151133592876,38850121.54173998
0.05660735208679129,49773260.222222224,0.04410682792319231,36143949.34232649
0.04972861842424781,35142510.76296296,0.04317679512856177,34875359.42170088
0.048168845943830634,36250462.007407404,0.04275799700562439,34060343.683284454
0.053080913258923425,45151733.096296296,0.043231873292902,34531215.03225806
0.047905144288584035,33192006.207407407,0.0416854675404021,33570908.64907136
0.04816948081608172,36055233.97777778,0.04150970671489791,34056187.25278592
0.04733734909031126,29785019.47037037,0.04064626664593306,32859689.225415446
0.04705585508986756,30956820.074074075,0.0385816923676756,31779644.952101663
0.050761487169398205,38230591.051851854,0.039702182019153064,32185823.954643205
0.046480510107896944,32017877.207407407,0.0398297249695481,32463668.39217986
0.0482759942887006,37250793.71111111,0.03868637197848522,31340507.560508307
0.04676179745131069,34031512.222222224,0.03839917917565633,32138256.84340176
0.04729408497611682,30832942.396296296,0.037922371845994646,31326452.99139785
0.046124849716822305,36875566.585185185,0.038363925517625005,30251062.355034214
0.04631286390401699,33052197.31111111,0.036854038099127434,31777197.869403716
0.04605126289857758,34791553.82962963,0.03752010123165122,30907026.527077224
0.046804354422622256,27720948.574074075,0.03687754806171181,30303270.159139786
0.04556466531422403,29857141.644444443,0.03662700595030104,31494195.32981427
0.04591863544450866,38278184.18518519,0.036452341408542525,30591047.247311827
0.04603583567120411,26841223.237037037,0.036301744238765705,31450092.650244378
0.04543648066895979,29900740.622222222,0.0358248948082255,30434104.04692082
0.04542615860700607,26791939.85925926,0.035765745618971445,29696450.555620722
0.044632635155209786,30911597.48888889,0.036047198166042016,29578460.23147605
0.045589946348358085,31383216.17037037,0.035440979003614925,30502277.519061584
0.044557022634479734,31828031.562962964,0.03559970276271843,29894353.177712608
0.04422329173043922,31373421.733333334,0.03540094775363497,30406070.477028348
0.04478901817842766,26793094.248148147,0.03516779429300207,30189553.352883674
0.04666425400861987,36350209.607407406,0.03560772817272362,30097264.99198436
0.04735129528023579,31843251.614814814,0.03503465646821441,30381608.804692082
0.04508495971008583,35896995.651851855,0.03462439222172092,29666993.66060606
0.04353786265408551,29230635.685185187,0.03474084429683224,30099357.77829912
0.0445722760701621,30754973.214814816,0.034439362336463594,29502465.57888563
0.051040126576467795,40291056.31111111,0.034011523505692844,28966072.906744868
0.04472891442753651,25186211.32962963,0.03405310556671254,29333645.1198436
0.04359952459732692,27420311.366666667,0.03364051798047208,29872663.111632455
0.04420822867088848,29880808.707407407,0.033673075626978424,29482170.400782015
0.04337574072458126,26588721.785185184,0.03389292055793755,28973293.388856307
0.043863628970252144,24212767.377777778,0.03356382993768212,29756081.083088953
0.042731955371521135,32320527.19259259,0.03322197531267112,28012386.377321605
