Date Time,Congestion,Direction,Observation (%)
01/12/2020 0:00,1,0,100
08/12/2020 0:00,1,0,100
01/12/2020 0:15,1,0,100
08/12/2020 0:15,1,0,100
01/12/2020 0:30,1,0,100
08/12/2020 0:30,1,0,100
01/12/2020 0:45,1,0,100
08/12/2020 0:45,1,0,100
01/12/2020 1:00,1,0,100
08/12/2020 1:00,1,0,100
01/12/2020 1:15,1,0,100
08/12/2020 1:15,1,0,100
01/12/2020 1:30,1,0,100
08/12/2020 1:30,1,0,100
01/12/2020 1:45,1,0,100
08/12/2020 1:45,1,0,100
01/12/2020 2:00,1,0,100
08/12/2020 2:00,1,0,100
01/12/2020 2:15,1,0,100
08/12/2020 2:15,1,0,100
01/12/2020 2:30,1,0,100
08/12/2020 2:30,1,0,100
01/12/2020 2:45,1,0,100
08/12/2020 2:45,1,0,100
01/12/2020 3:00,1,0,100
08/12/2020 3:00,1,0,100
01/12/2020 3:15,1,0,100
08/12/2020 3:15,1,0,100
01/12/2020 3:30,1,0,100
08/12/2020 3:30,1,0,100
01/12/2020 3:45,1,0,100
08/12/2020 3:45,1,0,100
01/12/2020 4:00,1,0,100
08/12/2020 4:00,1,0,100
01/12/2020 4:15,1,0,100
08/12/2020 4:15,1,0,100
01/12/2020 4:30,1,0,100
08/12/2020 4:30,1,0,100
01/12/2020 4:45,1,0,100
08/12/2020 4:45,1,0,100
01/12/2020 5:00,1,0,100
08/12/2020 5:00,1,0,100
01/12/2020 5:15,1,0,100
08/12/2020 5:15,1,0,100
01/12/2020 5:30,1,0,100
08/12/2020 5:30,1,0,100
01/12/2020 5:45,1,0,100
08/12/2020 5:45,1,0,100
01/12/2020 6:00,1,0,100
08/12/2020 6:00,1,0,100
01/12/2020 6:15,1,0,100
08/12/2020 6:15,1,0,100
01/12/2020 6:30,1,0,100
08/12/2020 6:30,1,0,100
01/12/2020 6:45,1,0,100
08/12/2020 6:45,1,0,100
01/12/2020 7:00,1,0,100
08/12/2020 7:00,1,0,100
01/12/2020 7:15,1,0,100
08/12/2020 7:15,1,0,100
01/12/2020 7:30,1,0,100
08/12/2020 7:30,1,0,100
01/12/2020 7:45,1,0,100
08/12/2020 7:45,1,0,100
01/12/2020 8:00,2,0,100
08/12/2020 8:00,2,0,100
01/12/2020 8:15,2,0,100
08/12/2020 8:15,2,0,100
01/12/2020 8:30,2,0,100
08/12/2020 8:30,2,0,100
01/12/2020 8:45,4,0,100
08/12/2020 8:45,4,0,100
01/12/2020 9:00,3,0,100
08/12/2020 9:00,3,0,100
01/12/2020 9:15,4,0,100
08/12/2020 9:15,4,0,100
01/12/2020 9:30,3,0,100
08/12/2020 9:30,3,0,100
01/12/2020 9:45,3,0,100
08/12/2020 9:45,3,0,100
01/12/2020 10:00,3,0,100
08/12/2020 10:00,3,0,100
01/12/2020 10:15,3,0,100
08/12/2020 10:15,3,0,100
01/12/2020 10:30,3,0,100
08/12/2020 10:30,3,0,100
01/12/2020 10:45,2,0,100
08/12/2020 10:45,2,0,100
01/12/2020 11:00,2,0,100
08/12/2020 11:00,2,0,100
01/12/2020 11:15,3,0,100
08/12/2020 11:15,3,0,100
01/12/2020 11:30,3,0,100
08/12/2020 11:30,3,0,100
01/12/2020 11:45,2,0,100
08/12/2020 11:45,2,0,100
01/12/2020 12:00,2,0,100
08/12/2020 12:00,2,0,100
01/12/2020 12:15,3,0,100
08/12/2020 12:15,3,0,100
01/12/2020 12:30,3,0,100
08/12/2020 12:30,3,0,100
01/12/2020 12:45,1,0,100
08/12/2020 12:45,1,0,100
01/12/2020 13:00,1,0,100
08/12/2020 13:00,1,0,100
01/12/2020 13:15,1,0,100
08/12/2020 13:15,1,0,100
01/12/2020 13:30,1,0,100
08/12/2020 13:30,1,0,100
01/12/2020 13:45,2,0,100
08/12/2020 13:45,2,0,100
01/12/2020 14:00,2,0,100
08/12/2020 14:00,2,0,100
01/12/2020 14:15,2,0,100
08/12/2020 14:15,2,0,100
01/12/2020 14:30,2,0,100
08/12/2020 14:30,2,0,100
01/12/2020 14:45,2,0,100
08/12/2020 14:45,2,0,100
01/12/2020 15:00,2,0,100
08/12/2020 15:00,2,0,100
01/12/2020 15:15,2,0,100
08/12/2020 15:15,2,0,100
01/12/2020 15:30,2,0,100
08/12/2020 15:30,2,0,100
01/12/2020 15:45,2,0,100
08/12/2020 15:45,2,0,100
01/12/2020 15:45,2,0,100
08/12/2020 15:45,2,0,100
01/12/2020 16:00,2,0,100
08/12/2020 16:00,2,0,100
01/12/2020 16:15,2,0,100
08/12/2020 16:15,2,0,100
01/12/2020 16:30,2,0,100
08/12/2020 16:30,2,0,100
01/12/2020 16:45,2,0,100
08/12/2020 16:45,2,0,100
01/12/2020 17:00,2,0,100
08/12/2020 17:00,2,0,100
01/12/2020 17:15,3,0,100
08/12/2020 17:15,3,0,100
01/12/2020 17:30,3,0,100
08/12/2020 17:30,3,0,100
01/12/2020 17:45,2,0,100
08/12/2020 17:45,2,0,100
01/12/2020 18:00,2,0,100
08/12/2020 18:00,2,0,100
01/12/2020 18:15,2,0,100
08/12/2020 18:15,2,0,100
01/12/2020 18:30,2,0,100
08/12/2020 18:30,2,0,100
01/12/2020 18:45,2,0,100
08/12/2020 18:45,2,0,100
01/12/2020 19:00,2,0,100
08/12/2020 19:00,2,0,100
01/12/2020 19:15,2,0,100
08/12/2020 19:15,2,0,100
01/12/2020 19:30,2,0,100
08/12/2020 19:30,2,0,100
01/12/2020 19:45,2,0,100
08/12/2020 19:45,2,0,100
01/12/2020 20:00,2,0,100
08/12/2020 20:00,2,0,100
01/12/2020 20:15,2,0,100
08/12/2020 20:15,2,0,100
01/12/2020 20:30,2,0,100
08/12/2020 20:30,2,0,100
01/12/2020 20:45,2,0,100
08/12/2020 20:45,2,0,100
01/12/2020 21:00,2,0,100
08/12/2020 21:00,2,0,100
01/12/2020 21:15,2,0,100
08/12/2020 21:15,2,0,100
01/12/2020 21:30,2,0,100
08/12/2020 21:30,2,0,100
01/12/2020 21:45,2,0,100
08/12/2020 21:45,2,0,100
01/12/2020 22:00,2,0,100
08/12/2020 22:00,2,0,100
01/12/2020 22:15,2,0,100
08/12/2020 22:15,2,0,100
01/12/2020 22:30,2,0,100
08/12/2020 22:30,2,0,100
01/12/2020 22:45,2,0,100
08/12/2020 22:45,2,0,100
01/12/2020 23:00,2,0,100
08/12/2020 23:00,2,0,100
01/12/2020 23:15,2,0,100
08/12/2020 23:15,2,0,100
01/12/2020 23:30,1,0,100
08/12/2020 23:30,1,0,100
01/12/2020 23:45,1,0,100
08/12/2020 23:45,1,0,100
09/12/2020 0:00,1,0,100
09/12/2020 0:15,1,0,100
09/12/2020 0:30,1,0,100
09/12/2020 0:45,1,0,100
09/12/2020 1:00,1,0,100
09/12/2020 1:15,1,0,100
09/12/2020 1:30,1,0,100
09/12/2020 1:45,1,0,100
09/12/2020 2:00,1,0,100
09/12/2020 2:15,1,0,100
09/12/2020 2:30,1,0,100
09/12/2020 2:45,1,0,100
09/12/2020 3:00,1,0,100
09/12/2020 3:15,1,0,100
09/12/2020 3:30,1,0,100
09/12/2020 3:45,1,0,100
09/12/2020 4:00,1,0,100
09/12/2020 4:15,1,0,100
09/12/2020 4:30,1,0,100
09/12/2020 4:45,1,0,100
09/12/2020 5:00,1,0,100
09/12/2020 5:15,1,0,100
09/12/2020 5:30,1,0,100
09/12/2020 5:45,1,0,100
09/12/2020 6:00,1,0,100
09/12/2020 6:15,1,0,100
09/12/2020 6:30,1,0,100
09/12/2020 6:45,1,0,100
09/12/2020 7:00,1,0,100
09/12/2020 7:15,1,0,100
09/12/2020 7:30,1,0,100
09/12/2020 7:45,1,0,100
09/12/2020 8:00,2,0,100
09/12/2020 8:15,2,0,100
09/12/2020 8:30,2,0,100
09/12/2020 8:45,4,0,100
09/12/2020 9:00,3,0,100
09/12/2020 9:15,4,0,100
09/12/2020 9:30,1,0,100
09/12/2020 9:45,1,0,100
09/12/2020 10:00,1,0,100
09/12/2020 10:15,1,0,100
09/12/2020 10:30,1,0,100
09/12/2020 10:45,1,0,100
09/12/2020 11:00,1,0,100
09/12/2020 11:15,1,0,100
09/12/2020 11:30,1,0,100
09/12/2020 11:45,2,0,100
09/12/2020 12:00,2,0,100
09/12/2020 12:15,2,0,100
09/12/2020 12:30,2,0,100
09/12/2020 12:45,2,0,100
09/12/2020 13:00,2,0,100
09/12/2020 13:15,2,0,100
09/12/2020 13:30,2,0,100
09/12/2020 13:45,2,0,100
09/12/2020 14:00,2,0,100
09/12/2020 14:15,2,0,100
09/12/2020 14:30,2,0,100
09/12/2020 14:45,2,0,100
09/12/2020 15:00,2,0,100
09/12/2020 15:15,2,0,100
09/12/2020 15:30,2,0,100
09/12/2020 15:45,2,0,100
09/12/2020 15:45,2,0,100
09/12/2020 16:00,2,0,100
09/12/2020 16:15,2,0,100
09/12/2020 16:30,2,0,100
09/12/2020 16:45,2,0,100
09/12/2020 17:00,2,0,100
09/12/2020 17:15,2,0,100
09/12/2020 17:30,2,0,100
09/12/2020 17:45,2,0,100
09/12/2020 18:00,3,0,100
09/12/2020 18:15,3,0,100
09/12/2020 18:30,2,0,100
09/12/2020 18:45,2,0,100
09/12/2020 19:00,2,0,100
09/12/2020 19:15,2,0,100
09/12/2020 19:30,2,0,100
09/12/2020 19:45,2,0,100
09/12/2020 20:00,2,0,100
09/12/2020 20:15,3,0,100
09/12/2020 20:30,3,0,100
09/12/2020 20:45,3,0,100
09/12/2020 21:00,3,0,100
09/12/2020 21:15,3,0,100
09/12/2020 21:30,3,0,100
09/12/2020 21:45,3,0,100
09/12/2020 22:00,2,0,100
09/12/2020 22:15,2,0,100
09/12/2020 22:30,2,0,100
09/12/2020 22:45,2,0,100
09/12/2020 23:00,2,0,100
09/12/2020 23:15,1,0,100
09/12/2020 23:30,1,0,100
09/12/2020 23:45,1,0,100
03/12/2020 0:00,1,0,100
10/12/2020 0:00,1,0,100
03/12/2020 0:15,1,0,100
10/12/2020 0:15,1,0,100
03/12/2020 0:30,1,0,100
10/12/2020 0:30,1,0,100
03/12/2020 0:45,1,0,100
10/12/2020 0:45,1,0,100
03/12/2020 1:00,1,0,100
10/12/2020 1:00,1,0,100
03/12/2020 1:15,1,0,100
10/12/2020 1:15,1,0,100
03/12/2020 1:30,1,0,100
10/12/2020 1:30,1,0,100
03/12/2020 1:45,1,0,100
10/12/2020 1:45,1,0,100
03/12/2020 2:00,1,0,100
10/12/2020 2:00,1,0,100
03/12/2020 2:15,1,0,100
10/12/2020 2:15,1,0,100
03/12/2020 2:30,1,0,100
10/12/2020 2:30,1,0,100
03/12/2020 2:45,1,0,100
10/12/2020 2:45,1,0,100
03/12/2020 3:00,1,0,100
10/12/2020 3:00,1,0,100
03/12/2020 3:15,1,0,100
10/12/2020 3:15,1,0,100
03/12/2020 3:30,1,0,100
10/12/2020 3:30,1,0,100
03/12/2020 3:45,1,0,100
10/12/2020 3:45,1,0,100
03/12/2020 4:00,1,0,100
10/12/2020 4:00,1,0,100
03/12/2020 4:15,1,0,100
10/12/2020 4:15,1,0,100
03/12/2020 4:30,1,0,100
10/12/2020 4:30,1,0,100
03/12/2020 4:45,1,0,100
10/12/2020 4:45,1,0,100
03/12/2020 5:00,1,0,100
10/12/2020 5:00,1,0,100
03/12/2020 5:15,1,0,100
10/12/2020 5:15,1,0,100
03/12/2020 5:30,1,0,100
10/12/2020 5:30,1,0,100
03/12/2020 5:45,1,0,100
10/12/2020 5:45,1,0,100
03/12/2020 6:00,1,0,100
10/12/2020 6:00,1,0,100
03/12/2020 6:15,1,0,100
10/12/2020 6:15,1,0,100
03/12/2020 6:30,1,0,100
10/12/2020 6:30,1,0,100
03/12/2020 6:45,1,0,100
10/12/2020 6:45,1,0,100
03/12/2020 7:00,1,0,100
10/12/2020 7:00,1,0,100
03/12/2020 7:15,1,0,100
10/12/2020 7:15,1,0,100
03/12/2020 7:30,1,0,100
10/12/2020 7:30,1,0,100
03/12/2020 7:45,1,0,100
10/12/2020 7:45,1,0,100
03/12/2020 8:00,2,0,100
10/12/2020 8:00,2,0,100
03/12/2020 8:15,2,0,100
10/12/2020 8:15,2,0,100
03/12/2020 8:30,2,0,100
10/12/2020 8:30,2,0,100
03/12/2020 8:45,4,0,100
10/12/2020 8:45,4,0,100
03/12/2020 9:00,3,0,100
10/12/2020 9:00,3,0,100
03/12/2020 9:15,4,0,100
10/12/2020 9:15,4,0,100
03/12/2020 9:30,2,0,100
10/12/2020 9:30,2,0,100
03/12/2020 9:45,2,0,100
10/12/2020 9:45,2,0,100
03/12/2020 10:00,2,0,100
10/12/2020 10:00,2,0,100
03/12/2020 10:15,1,0,100
10/12/2020 10:15,1,0,100
03/12/2020 10:30,2,0,100
10/12/2020 10:30,2,0,100
03/12/2020 10:45,1,0,100
10/12/2020 10:45,1,0,100
03/12/2020 11:00,1,0,100
10/12/2020 11:00,1,0,100
03/12/2020 11:15,1,0,100
10/12/2020 11:15,1,0,100
03/12/2020 11:30,3,0,100
10/12/2020 11:30,3,0,100
03/12/2020 11:45,2,0,100
10/12/2020 11:45,2,0,100
