Date Time,Congestion,Direction,Observation (%)
10/12/2020 3:45,1,1,100
03/12/2020 4:00,1,1,100
10/12/2020 4:00,1,1,100
03/12/2020 4:15,1,1,100
10/12/2020 4:15,1,1,100
03/12/2020 4:30,1,1,100
10/12/2020 4:30,1,1,100
03/12/2020 4:45,1,1,100
10/12/2020 4:45,1,1,100
03/12/2020 5:00,1,1,100
10/12/2020 5:00,1,1,100
03/12/2020 5:15,1,1,100
10/12/2020 5:15,1,1,100
03/12/2020 5:30,1,1,100
10/12/2020 5:30,1,1,100
03/12/2020 5:45,1,1,100
10/12/2020 5:45,1,1,100
03/12/2020 6:00,1,1,100
10/12/2020 6:00,1,1,100
03/12/2020 6:15,1,1,100
10/12/2020 6:15,1,1,100
03/12/2020 6:30,1,1,100
10/12/2020 6:30,1,1,100
03/12/2020 6:45,1,1,100
10/12/2020 6:45,1,1,100
03/12/2020 7:00,1,1,100
10/12/2020 7:00,1,1,100
03/12/2020 7:15,1,1,100
10/12/2020 7:15,1,1,100
03/12/2020 7:30,1,1,100
10/12/2020 7:30,1,1,100
03/12/2020 7:45,1,1,100
10/12/2020 7:45,1,1,100
03/12/2020 8:00,3,1,100
10/12/2020 8:00,3,1,100
03/12/2020 8:15,2,1,100
10/12/2020 8:15,2,1,100
03/12/2020 8:30,3,1,100
10/12/2020 8:30,3,1,100
03/12/2020 8:45,3,1,100
10/12/2020 8:45,3,1,100
03/12/2020 9:00,3,1,100
10/12/2020 9:00,3,1,100
03/12/2020 9:15,4,1,100
10/12/2020 9:15,4,1,100
03/12/2020 9:30,2,1,100
10/12/2020 9:30,2,1,100
03/12/2020 9:45,2,1,100
10/12/2020 9:45,2,1,100
03/12/2020 10:00,2,1,100
10/12/2020 10:00,2,1,100
03/12/2020 10:15,4,1,100
10/12/2020 10:15,4,1,100
03/12/2020 10:30,2,1,100
10/12/2020 10:30,2,1,100
03/12/2020 10:45,4,1,100
10/12/2020 10:45,4,1,100
03/12/2020 11:00,4,1,100
10/12/2020 11:00,4,1,100
03/12/2020 11:15,4,1,100
10/12/2020 11:15,4,1,100
03/12/2020 11:30,3,1,100
10/12/2020 11:30,3,1,100
03/12/2020 11:45,1,1,100
10/12/2020 11:45,1,1,100
03/12/2020 12:00,1,1,100
10/12/2020 12:00,1,1,100
03/12/2020 12:15,1,1,100
10/12/2020 12:15,1,1,100
03/12/2020 12:30,1,1,100
10/12/2020 12:30,1,1,100
03/12/2020 12:45,1,1,100
10/12/2020 12:45,1,1,100
03/12/2020 13:00,1,1,100
10/12/2020 13:00,1,1,100
03/12/2020 13:15,1,1,100
10/12/2020 13:15,1,1,100
03/12/2020 13:30,1,1,100
10/12/2020 13:30,1,1,100
03/12/2020 13:45,1,1,100
10/12/2020 13:45,1,1,100
03/12/2020 14:00,1,1,100
10/12/2020 14:00,1,1,100
03/12/2020 14:15,1,1,100
10/12/2020 14:15,1,1,100
03/12/2020 14:30,2,1,100
10/12/2020 14:30,2,1,100
03/12/2020 14:45,2,1,100
10/12/2020 14:45,2,1,100
03/12/2020 15:00,2,1,100
10/12/2020 15:00,2,1,100
03/12/2020 15:15,2,1,100
